dataset	gene	is_unique	known_status	program	coexpr_GNRH1	specificity_score	confidence_level
HuDeCa nose	CHRNA3	TRUE	candidate_novel	mature	TRUE	3.04509183115159	high
HuDeCa nose	RAB3C	TRUE	candidate_novel	mature	TRUE	0.948179986656809	high
HuDeCa nose	HCN1	TRUE	candidate_novel	mature	TRUE	0.578486863299044	high
HuDeCa nose	CDH22	TRUE	unknown_or_context_specific	migrating	TRUE	4.33398979384679	high
HuDeCa nose	RAB3C	TRUE	candidate_novel	secreting	TRUE	0.948179986656809	high
Human hPSC	ARX	TRUE	unknown_or_context_specific	identity	TRUE	21.5641242356676	high
Human hPSC	DLX1	TRUE	known_GnRH_or_developmental	identity	TRUE	19.6753296191963	high
Human hPSC	DLX2	TRUE	known_GnRH_or_developmental	identity	TRUE	11.7539064678145	high
Human hPSC	KLF7	TRUE	unknown_or_context_specific	identity	TRUE	1.27870737161741	high
Human hPSC	SIX3	TRUE	known_GnRH_or_developmental	identity	TRUE	1.02854951307325	high
Human hPSC	FOXG1	TRUE	unknown_or_context_specific	identity	TRUE	0.136048916569809	high
Human hPSC	RAB3A	TRUE	unknown_or_context_specific	mature	TRUE	41.5033457733654	high
Human hPSC	VGF	TRUE	unknown_or_context_specific	mature	TRUE	4.02040602884829	high
Human hPSC	CHGA	TRUE	unknown_or_context_specific	mature	TRUE	3.25526198720743	high
Human hPSC	RIPOR2	TRUE	known_GnRH_or_developmental	migrating	TRUE	28.7302882840404	high
Human hPSC	CTNNA2	TRUE	unknown_or_context_specific	migrating	TRUE	8.51318848585247	high
Human hPSC	UNC5D	TRUE	known_GnRH_or_developmental	migrating	TRUE	4.28885588675393	high
Human hPSC	ROBO2	TRUE	unknown_or_context_specific	migrating	TRUE	1.53219719176122	high
Human hPSC	RAB3A	TRUE	unknown_or_context_specific	secreting	TRUE	41.5033457733654	high
Human HypoMap	ZIC4	TRUE	unknown_or_context_specific	identity	TRUE	3.21954417767819	high
Human HypoMap	ZIC5	TRUE	unknown_or_context_specific	identity	TRUE	0.623046258398168	high
Human HypoMap	VAMP2	TRUE	unknown_or_context_specific	secreting	TRUE	2.61791034009946	high
Mouse HypoMap	EBF3	TRUE	candidate_novel	identity	TRUE	8.62589808286536	high
Mouse HypoMap	MEIS1	TRUE	candidate_novel	identity	TRUE	0.775459604689785	high
Mouse HypoMap	KISS1R	TRUE	known_GnRH_or_developmental	mature	TRUE	12.5442151995144	high
Mouse HypoMap	KCNMB2	TRUE	candidate_novel	mature	TRUE	6.97888814090407	high
Mouse HypoMap	CHRNB4	TRUE	candidate_novel	mature	TRUE	6.87425175636234	high
Mouse HypoMap	RAB3B	TRUE	unknown_or_context_specific	mature	TRUE	4.13136823804523	high
Mouse HypoMap	SCN9A	TRUE	candidate_novel	mature	TRUE	1.33965321593159	high
Mouse HypoMap	DOC2B	TRUE	unknown_or_context_specific	mature	TRUE	0.567608043790257	high
Mouse HypoMap	SCG5	TRUE	candidate_novel	mature	TRUE	0.534319616304454	high
Mouse HypoMap	FREM1	TRUE	candidate_novel	migrating	TRUE	5.90169117704792	high
Mouse HypoMap	TMEM131L	TRUE	candidate_novel	migrating	TRUE	4.04662841625617	high
Mouse HypoMap	GDNF	TRUE	candidate_novel	migrating	TRUE	3.31739812161556	high
Mouse HypoMap	DLX6OS1	TRUE	candidate_novel	migrating	TRUE	3.13011951535874	high
Mouse HypoMap	CXCR4	TRUE	unknown_or_context_specific	migrating	TRUE	0.206590556321917	high
Mouse HypoMap	RAB27B	TRUE	candidate_novel	secreting	TRUE	16.8073934227971	high
Mouse HypoMap	KISS1R	TRUE	known_GnRH_or_developmental	secreting	TRUE	12.5442151995144	high
Mouse HypoMap	RAB3B	TRUE	unknown_or_context_specific	secreting	TRUE	4.13136823804523	high
Mouse HypoMap	PLD5	TRUE	candidate_novel	secreting	TRUE	1.10213684147628	high
Mouse HypoMap	DOC2B	TRUE	unknown_or_context_specific	secreting	TRUE	0.567608043790257	high
Mouse HypoMap	SCG5	TRUE	candidate_novel	secreting	TRUE	0.534319616304454	high
Mouse HypoMap	PCSK1N	TRUE	candidate_novel	secreting	TRUE	0.183049303365916	high
